date,Default,Late,In Grace Period
2019-06-04,0.0446194225722,0.0393700787402,0.0131233595801
2019-06-05,0.0446194225722,0.0393700787402,0.0131233595801
2019-06-06,0.0443864229765,0.0391644908616,0.00783289817232
2019-06-07,0.0443864229765,0.0365535248042,0.00783289817232
2019-06-08,0.0442708333333,0.0364583333333,0.0078125
2019-06-09,0.0442708333333,0.0364583333333,0.0078125
2019-06-10,0.0440414507772,0.0336787564767,0.00777202072539
2019-06-11,0.0440414507772,0.0336787564767,0.00777202072539
2019-06-12,0.0439276485788,0.0361757105943,0.00516795865633
2019-06-13,0.0438144329897,0.0335051546392,0.00515463917526
2019-06-14,0.0438144329897,0.0335051546392,0.00773195876289
2019-06-15,0.0435897435897,0.0333333333333,0.00769230769231
2019-06-16,0.0434782608696,0.0332480818414,0.0076726342711
2019-06-17,0.0434782608696,0.0332480818414,0.0127877237852
2019-06-18,0.0435897435897,0.0333333333333,0.0102564102564
2019-06-19,0.0437017994859,0.0359897172237,0.0102827763496
2019-06-20,0.0433673469388,0.0357142857143,0.00765306122449
2019-06-21,0.0433673469388,0.0357142857143,0.00765306122449
2019-06-22,0.0432569974555,0.0356234096692,0.00763358778626
2019-06-23,0.0432569974555,0.0356234096692,0.00763358778626
2019-06-24,0.0431472081218,0.0355329949239,0.010152284264
2019-06-25,0.0431472081218,0.0380710659898,0.010152284264
2019-06-26,0.0431472081218,0.0380710659898,0.00507614213198
2019-06-27,0.0430379746835,0.0430379746835,0.0
2019-06-28,0.0478589420655,0.0377833753149,0.00251889168766
2019-06-29,0.0477386934673,0.0376884422111,0.00251256281407
2019-06-30,0.047263681592,0.0373134328358,0.00248756218905
2019-07-01,0.047263681592,0.0373134328358,0.00497512437811
2019-07-02,0.047263681592,0.0373134328358,0.00497512437811
2019-07-03,0.047263681592,0.0348258706468,0.00497512437811
2019-07-04,0.047263681592,0.0348258706468,0.00497512437811
2019-07-05,0.047263681592,0.0348258706468,0.00497512437811
2019-07-06,0.0471464019851,0.0347394540943,0.00496277915633
2019-07-07,0.0496277915633,0.0322580645161,0.00496277915633
2019-07-08,0.0497512437811,0.0323383084577,0.00746268656716
2019-07-09,0.0498753117207,0.0324189526185,0.0074812967581
2019-07-10,0.0498753117207,0.0349127182045,0.0074812967581
2019-07-11,0.0498753117207,0.0349127182045,0.00498753117207
2019-07-12,0.0498753117207,0.0349127182045,0.0074812967581
2019-07-13,0.0498753117207,0.0349127182045,0.0074812967581
2019-07-14,0.0497512437811,0.0348258706468,0.00746268656716
2019-07-15,0.0496277915633,0.0372208436725,0.00496277915633
2019-07-16,0.0496277915633,0.0397022332506,0.00248138957816
2019-07-17,0.049504950495,0.039603960396,0.00247524752475
2019-07-18,0.0493827160494,0.0395061728395,0.00246913580247
